[INFO] Loading: Tetris.gb
[INFO] Filesize: 32768
[INFO] Catrige type is: 0x00 - ROM ONLY
[INFO] ROM size is: 0x00 - 256Kbit = 32KByte = 2 banks
[INFO] RAM size is: 0x00 - None
[INFO] Bios logo check passed
[INFO] Bios Rom SUM is : 0x0200
[INFO] Bios Rom SUM passed
[INFO] Rom loaded correctly
[INFO] System reset done
[DEBUG] OPC-0x0000, PC-0x0100, SP-0xfffe, ARG-0x0000, A=0x01, B=0x00, C=0x13, D=0x00, E=0xd8, F=0xb0, H=0x01, L=0x4d
[DEBUG] OPC-0x00c3, PC-0x0101, SP-0xfffe, ARG-0x0150, A=0x01, B=0x00, C=0x13, D=0x00, E=0xd8, F=0xb0, H=0x01, L=0x4d
[DEBUG] OPC-0x00c3, PC-0x0150, SP-0xfffe, ARG-0x020c, A=0x01, B=0x00, C=0x13, D=0x00, E=0xd8, F=0xb0, H=0x01, L=0x4d
[DEBUG] OPC-0x00af, PC-0x020c, SP-0xfffe, ARG-0x0000, A=0x00, B=0x00, C=0x13, D=0x00, E=0xd8, F=0x80, H=0x01, L=0x4d
[DEBUG] OPC-0x0021, PC-0x020d, SP-0xfffe, ARG-0xdfff, A=0x00, B=0x00, C=0x13, D=0x00, E=0xd8, F=0x80, H=0xdf, L=0xff
[DEBUG] OPC-0x000e, PC-0x0210, SP-0xfffe, ARG-0x0010, A=0x00, B=0x00, C=0x10, D=0x00, E=0xd8, F=0x80, H=0xdf, L=0xff
[DEBUG] OPC-0x0006, PC-0x0212, SP-0xfffe, ARG-0x0000, A=0x00, B=0x00, C=0x10, D=0x00, E=0xd8, F=0x80, H=0xdf, L=0xff
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0x00, C=0x10, D=0x00, E=0xd8, F=0x80, H=0xdf, L=0xfe
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xff, C=0x10, D=0x00, E=0xd8, F=0x60, H=0xdf, L=0xfe
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xff, C=0x10, D=0x00, E=0xd8, F=0x60, H=0xdf, L=0xfe
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xff, C=0x10, D=0x00, E=0xd8, F=0x60, H=0xdf, L=0xfd
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfe, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfd
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xfe, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfd
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfe, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfc
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfd, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfc
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xfd, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfc
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfd, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfb
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfc, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfb
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xfc, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfb
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfc, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfa
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfb, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfa
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xfb, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xfa
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfb, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xf9
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfa, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xf9
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xfa, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xf9
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xfa, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xf8
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xf9, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xf8
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xf9, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xf8
